"","unique.cellid","unique.tissueid","CGP.cellid","CCLE.cellid","GSK.cellid","GRAY.cellid","GNE.cellid","CTRP.cellid","CGP_EMTAB3610.cellid","GDSC_rnaseq.cellid","CCLE_exome.cellid","CCLE_rnaseq.cellid","GDSC.SNP.cellid","Ben_Neel.cellid","CTRPv2.cellid","gCSI.cellid","GDSC1000.cellid","NCI60.cellid","PRISM.cellid","CGP.tissueid","CCLE.tissueid","GSK.tissueid","GRAY.tissueid","GNE.tissueid","CTRP.tissueid","CGP_EMTAB3610.tissueid","CCLE_rnaseq.tissueid","GDSC.SNP.tissueid","Cescon.cellid","Ben_Neel.tissueid","COSMIC.tissueid","CTRPv2.tissueid","gCSI.tissueid","GDSC1000.tissueid","Cleveland.cellid","Cleveland.tissueid","FIMM.cellid","FIMM.tissueid","NCI60.tissueid","PRISM.tissueid","Cellosaurus.Accession.id","PharmacoDB.id","GDSC_Exome.cellid","unique.tissueid.fromstudies","Cellosaurus.Disease.Type","CellLine.Type","Metastatic","DepMap.cellid","MITMel.cellid","MITMel.tissueid","VISAGE.cellid","VISAGE.tissueid"
"11","21MT-1","Breast",NA,NA,NA,"21MT1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"breast",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CVCL_7931","21MT1_8_2019",NA,"breast","Breast carcinoma","Cancer cell line",TRUE,NA,NA,NA,NA,NA
"12","21MT-2","Breast",NA,NA,NA,"21MT2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"breast",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CVCL_7932","21MT2_9_2019",NA,"breast","Breast carcinoma","Cancer cell line",TRUE,NA,NA,NA,NA,NA
"13","21NT","Breast",NA,NA,NA,"21NT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"breast",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CVCL_7933","21NT_10_2019",NA,"breast","Breast carcinoma","Cancer cell line",NA,"ACH-002399",NA,NA,NA,NA
"14","21PT","Breast",NA,NA,NA,"21PT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"breast",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CVCL_7934","21PT_11_2019",NA,"breast","Breast carcinoma","Cancer cell line",NA,NA,NA,NA,NA,NA
"15","22Rv1","Prostate","22RV1","22Rv1","22RV1",NA,NA,NA,"22RV1","22Rv1","22Rv1","22Rv1","22RV1",NA,"22RV1","22Rv1","22RV1",NA,"22RV1_PROSTATE","prostate","prostate","prostate",NA,NA,NA,"prostate","prostate","urogenital_system",NA,NA,"prostate","prostate",NA,"prostate","22RV1","prostate",NA,NA,NA,"prostate","CVCL_1045","22RV1_12_2019","22RV1","prostate","Prostate carcinoma","Cancer cell line",NA,"ACH-000956",NA,NA,"22RV1","Prostate"
"16","23132/87","Esophagus/Stomach","23132-87","23132/87",NA,NA,"23132/87",NA,"23132-87",NA,"23132_87","23132_87","23132-87",NA,"2313287","23132-87///23132/87","23132-87",NA,"2313287_STOMACH","stomach","stomach",NA,NA,NA,NA,"Stomach","stomach","digestive_system",NA,NA,"stomach","stomach","Stomach","stomach",NA,NA,NA,NA,NA,"gastric","CVCL_1046","2313287_13_2019","23132-87","stomach","Gastric adenocarcinoma","Cancer cell line",NA,"ACH-000948",NA,NA,NA,NA
"17","253J","Bladder/Urinary Tract",NA,"253J",NA,NA,NA,NA,NA,NA,"253J","253J",NA,NA,"253J",NA,NA,NA,"253J_URINARY_TRACT",NA,"urinary_tract",NA,NA,NA,NA,NA,"urinary_tract",NA,NA,NA,"urinary_tract","urinary_tract",NA,NA,NA,NA,NA,NA,NA,"urinary_tract","CVCL_7935","253J_14_2019",NA,"urinary_tract","Bladder carcinoma","Cancer cell line",TRUE,"ACH-000011",NA,NA,NA,NA
"18","253J-BV","Bladder/Urinary Tract",NA,"253J-BV",NA,NA,NA,NA,NA,NA,"253J-BV","253J-BV",NA,NA,"253JBV",NA,NA,NA,"253JBV_URINARY_TRACT",NA,"urinary_tract",NA,NA,NA,NA,NA,"urinary_tract",NA,NA,NA,"urinary_tract","urinary_tract",NA,NA,NA,NA,NA,NA,NA,"urinary_tract","CVCL_7937","253JBV_15_2019",NA,"urinary_tract","Bladder carcinoma","Cancer cell line",TRUE,"ACH-000026",NA,NA,NA,NA
"19","380","Lymphoid","380",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"haematopoietic_and_lymphoid_tissue",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"haematopoietic_and_lymphoid_tissue",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"380192021_",NA,"haematopoietic_and_lymphoid_tissue","Childhood B acute lymphoblastic leukemia",NA,NA,NA,NA,NA,NA,NA
"20","42-MG-BA","CNS/Brain",NA,"42-MG-BA",NA,NA,NA,NA,"42-MG-BA",NA,"42-MG-BA","42-MG-BA","42-MG-BA",NA,"42MGBA",NA,"42-MG-BA",NA,"42MGBA_CENTRAL_NERVOUS_SYSTEM",NA,"central_nervous_system",NA,NA,NA,NA,"Brain","central_nervous_system",NA,NA,NA,"central_nervous_system","central_nervous_system",NA,"central_nervous_system","42MGBA","central_nervous_system",NA,NA,NA,"central_nervous_system","CVCL_1798","42MGBA_16_2019","42-MG-BA","central_nervous_system","Glioblastoma","Cancer cell line",NA,"ACH-000323",NA,NA,NA,NA
"21","451Lu","Skin",NA,NA,NA,NA,NA,NA,"451Lu","451Lu",NA,NA,"451Lu",NA,NA,NA,"451Lu",NA,NA,NA,NA,NA,NA,NA,NA,"Skin",NA,NA,NA,NA,"skin",NA,NA,"skin",NA,NA,NA,NA,NA,NA,"CVCL_6357","451Lu_17_2019","451Lu","skin","Cutaneous melanoma","Cancer cell line",TRUE,"ACH-001002","WM451Lu","Skin",NA,NA
"22","537-mel","Skin",NA,NA,NA,NA,"537 MEL",NA,NA,NA,NA,NA,NA,NA,NA,"537 MEL",NA,NA,NA,NA,NA,NA,NA,"Skin",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CVCL_8052","537MEL_19_2019",NA,"skin","Melanoma","Cancer cell line",TRUE,NA,NA,NA,NA,NA
"23","5637","Bladder/Urinary Tract","5637","5637","5637",NA,NA,"5637","5637",NA,"5637","5637","5637",NA,"5637",NA,"5637",NA,"5637_URINARY_TRACT","urinary_tract","urinary_tract","bladder",NA,NA,"URINARY_TRACT","Bladder","urinary_tract",NA,NA,NA,"urinary_tract","urinary_tract",NA,"urinary_tract","5637","urinary_tract",NA,NA,NA,"urinary_tract","CVCL_0126","5637_20_2019","5637","urinary_tract","Bladder carcinoma","Cancer cell line",NA,"ACH-000905",NA,NA,NA,NA
"24","59M","Ovary/Fallopian Tube",NA,"59M",NA,NA,"59M",NA,NA,NA,"59M","59M",NA,NA,NA,"59M",NA,NA,NA,NA,"ovary",NA,NA,"Ovary",NA,NA,"ovary",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CVCL_2291","59M_21_2019",NA,"ovary","High grade ovarian serous adenocarcinoma","Cancer cell line",TRUE,"ACH-000520",NA,NA,NA,NA
"25","600MPE","Breast",NA,NA,NA,"600MPE",NA,NA,NA,NA,NA,NA,NA,"600mpe///mpe600",NA,NA,NA,NA,NA,NA,NA,NA,"breast",NA,NA,NA,NA,NA,"2-mpe600///MPE600","breast","breast",NA,NA,NA,NA,NA,NA,NA,NA,NA,"CVCL_9875","600MPE_22_2019",NA,"breast","Invasive ductal carcinoma, not otherwise specified","Cancer cell line",TRUE,"ACH-002320",NA,NA,NA,NA
"26","624-mel","Skin",NA,NA,NA,NA,"624 mel",NA,NA,NA,NA,NA,NA,NA,NA,"624 mel",NA,NA,NA,NA,NA,NA,NA,"Skin",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CVCL_8054","624mel_23_2019",NA,"skin","Melanoma","Cancer cell line",TRUE,NA,NA,NA,NA,NA
"27","639V","Bladder/Urinary Tract","639-V","639-V","639V",NA,NA,NA,"639-V",NA,"639-V","639-V","639-V",NA,"639V",NA,"639-V",NA,"639V_URINARY_TRACT","urinary_tract","urinary_tract","bladder",NA,NA,NA,"Bladder","urinary_tract","urogenital_system",NA,NA,"urinary_tract","urinary_tract",NA,"urinary_tract",NA,NA,NA,NA,NA,"urinary_tract","CVCL_1048","639V_24_2019","639-V","urinary_tract","Bladder carcinoma","Cancer cell line",NA,"ACH-000973",NA,NA,NA,NA
"28","647V","Bladder/Urinary Tract","647-V","647-V","647V",NA,NA,NA,"647-V",NA,"647-V","647-V","647-V",NA,"647V",NA,"647-V",NA,"647V_URINARY_TRACT","urinary_tract","urinary_tract","bladder",NA,NA,NA,"Bladder","urinary_tract","urogenital_system",NA,NA,"urinary_tract","urinary_tract",NA,"urinary_tract","647V","urinary_tract",NA,NA,NA,"urinary_tract","CVCL_1049","647V_25_2019","647-V","urinary_tract","Bladder carcinoma","Cancer cell line",NA,"ACH-000896",NA,NA,NA,NA
"29","697","Lymphoid","697","697",NA,NA,NA,NA,"697",NA,"697","697","697",NA,"697",NA,"697",NA,NA,"haematopoietic_and_lymphoid_tissue","haematopoietic_and_lymphoid_tissue",NA,NA,NA,NA,"Blood","haematopoietic_and_lymphoid_tissue","blood",NA,NA,"haematopoietic_and_lymphoid_tissue","haematopoietic_and_lymphoid_tissue",NA,"haematopoietic_and_lymphoid_tissue",NA,NA,NA,NA,NA,NA,"CVCL_0079","697_26_2019","697","haematopoietic_and_lymphoid_tissue","B acute lymphoblastic leukemia with t(1 p13.3) E2A-PBX1 (TCF3-PBX1)","Cancer cell line",NA,"ACH-000070",NA,NA,NA,NA
"30","769-P","Kidney","769-P","769-P","769P",NA,"769-P",NA,"769-P",NA,"769-P","769-P","769-P",NA,"769P","769-P","769-P","769-P","769P_KIDNEY","kidney","kidney","kidney",NA,"Kidney",NA,"Kidney","kidney","kidney",NA,NA,"kidney","kidney","Kidney","kidney","769P","kidney",NA,NA,"Renal Cancer","kidney","CVCL_1050","769P_27_2019","769-P","kidney","Renal cell carcinoma","Cancer cell line",NA,"ACH-000411",NA,NA,NA,NA
"31","786-O","Kidney","786-0","786-O","786O",NA,"786-O",NA,"786-o",NA,"786-O","786-O","786-0",NA,"786O","786-O","786-0","786-0///RE.786.0","786O_KIDNEY","kidney","kidney","kidney",NA,"Kidney",NA,"Kidney","kidney",NA,NA,NA,"kidney","kidney","Kidney","kidney","786O","kidney",NA,NA,"Renal Cancer///Renal","kidney","CVCL_1051","7860_28_2019","786-0","kidney","Renal cell carcinoma","Cancer cell line",NA,"ACH-000649",NA,NA,NA,NA
"32","8-MG-BA","CNS/Brain","8-MG-BA","8-MG-BA",NA,NA,NA,NA,"8-MG-BA",NA,"8-MG-BA","8-MG-BA","8-MG-BA",NA,"8MGBA",NA,"8-MG-BA",NA,"8MGBA_CENTRAL_NERVOUS_SYSTEM","central_nervous_system","central_nervous_system",NA,NA,NA,NA,"CNS","central_nervous_system","nervous_system",NA,NA,"central_nervous_system","central_nervous_system",NA,"central_nervous_system","8MGBA","central_nervous_system",NA,NA,NA,"central_nervous_system","CVCL_1052","8MGBA_29_2019","8-MG-BA","central_nervous_system","Glioblastoma","Cancer cell line",NA,"ACH-000137",NA,NA,NA,NA
"33","8305C","Thyroid","8305C","8305C",NA,NA,NA,NA,"8305C",NA,"8305C","8305C","8305C",NA,"8305C","8305C","8305C",NA,"8305C_THYROID","thyroid","thyroid",NA,NA,NA,NA,"Thyroid","thyroid","thyroid",NA,NA,"thyroid","thyroid","Thyroid","thyroid",NA,NA,NA,NA,NA,"thyroid","CVCL_1053","8305C_30_2019","8305C","thyroid","Thyroid gland undifferentiated (anaplastic) carcinoma","Cancer cell line",NA,"ACH-001306",NA,NA,NA,NA
"34","8505C","Thyroid","8505C","8505C",NA,NA,NA,NA,"8505C",NA,"8505C","8505C","8505C",NA,"8505C","8505C","8505C",NA,"8505C_THYROID","thyroid","thyroid",NA,NA,NA,NA,"thyroid","thyroid","thyroid",NA,NA,"thyroid","thyroid","Thyroid","thyroid","8505C","thyroid",NA,NA,NA,"thyroid","CVCL_1054","8505C_31_2019","8505C","thyroid","Thyroid gland undifferentiated (anaplastic) carcinoma","Cancer cell line",NA,"ACH-001307",NA,NA,NA,NA
"35","888-mel","Skin",NA,NA,NA,NA,"888",NA,NA,NA,NA,NA,NA,NA,NA,"888",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CVCL_4632","888mel_32_2019",NA,"skin","Melanoma","Cancer cell line",TRUE,NA,NA,NA,NA,NA
"36","92-1 [Human uveal melanoma]","Eye",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CVCL_8607","92-1 [Human uveal melanoma]362021_",NA,NA,NA,NA,NA,"ACH-001441",NA,NA,NA,NA
"37","93T449","Soft Tissue",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CVCL_U614","93T449372021_",NA,NA,NA,NA,NA,"ACH-001794",NA,NA,NA,NA
"38","94T778","Soft Tissue",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CVCL_U613","94T778382021_",NA,NA,NA,NA,NA,"ACH-001795",NA,NA,NA,NA
"39","9505BIK",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"9505BIK392021_",NA,NA,NA,NA,NA,"ACH-001999",NA,NA,NA,NA
"40","95T1000","Soft Tissue",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CVCL_WU67","95T1000402021_",NA,NA,NA,NA,NA,"ACH-001796",NA,NA,NA,NA
"41","A-1207","CNS/Brain",NA,"A1207",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"central_nervous_system",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CVCL_8481","A1207_35_2019",NA,"central_nervous_system","Glioblastoma","Cancer cell line",NA,"ACH-000283",NA,NA,NA,NA
"42","A-172","CNS/Brain","A172","A172","A172",NA,"A172",NA,"A172",NA,"A172","A172","A172",NA,"A172","A172","A172",NA,"A172_CENTRAL_NERVOUS_SYSTEM","central_nervous_system","central_nervous_system","brain",NA,"Brain",NA,"Brain","central_nervous_system","nervous_system",NA,NA,"central_nervous_system","central_nervous_system","Brain","central_nervous_system","A172","central_nervous_system",NA,NA,NA,"central_nervous_system","CVCL_0131","A172_36_2019","A172","central_nervous_system","Glioblastoma","Cancer cell line",NA,"ACH-000558",NA,NA,NA,NA
"43","A-172/H.Fine",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"A-172/H.Fine",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CNS Cancer",NA,NA,"A-172/H.Fine432021_",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","A-204","Soft Tissue","A204","A-204","A204",NA,NA,NA,"A204",NA,"A-204","A-204","A204",NA,"A204",NA,"A204","A-204","A204_SOFT_TISSUE","soft_tissue","soft_tissue","muscle",NA,NA,NA,"Muscle","soft_tissue",NA,NA,NA,"soft_tissue","soft_tissue",NA,"soft_tissue","A204","soft_tissue",NA,NA,"Rhabdoid Tumor","rhabdoid","CVCL_1058","A204_37_2019","A204","soft_tissue","Embryonal rhabdomyosarcoma","Cancer cell line",NA,"ACH-000201",NA,NA,NA,NA
"45","A-253","Head and Neck","A253","A-253",NA,NA,NA,NA,"A253",NA,"A-253","A-253","A253",NA,"A253","A-253","A253",NA,NA,"skin","salivary_gland",NA,NA,NA,NA,"H&N","skin","aero_digestive_tract",NA,NA,"skin","salivary_gland",NA,"skin","A253","salivary_gland",NA,NA,NA,NA,"CVCL_1060","A253_39_2019","A253","skin","Salivary gland squamous cell carcinoma","Cancer cell line",NA,"ACH-000740",NA,NA,NA,NA
"46","A-375","Skin","A375","A-375","A375",NA,"A-375","A375","A375",NA,"A-375","A-375","A375",NA,"A375","A-375","A375",NA,"A375_SKIN","skin","skin","skin",NA,"Skin","SKIN","Skin","skin","skin",NA,NA,"skin","skin","Skin","skin",NA,NA,NA,NA,NA,"skin","CVCL_0132","A375_42_2019","A375","skin","Amelanotic melanoma","Cancer cell line",NA,"ACH-000219","A375","Skin",NA,NA
"47","A-388","Skin","A388",NA,NA,NA,NA,NA,"A388","A388",NA,NA,"A388",NA,NA,"A388","A388",NA,NA,"skin",NA,NA,NA,NA,NA,"Unknown",NA,NA,NA,NA,"skin",NA,NA,"skin",NA,NA,NA,NA,NA,NA,"CVCL_1063","A388_43_2019","A388","skin","Squamous cell carcinoma","Cancer cell line",NA,"ACH-001442",NA,NA,NA,NA
"48","A-427","Lung","A427","A427","A427",NA,"A-427",NA,"A427","A427",NA,NA,"A427",NA,NA,"A-427","A427",NA,NA,"lung",NA,"lung",NA,"Lung",NA,"Lung:NSCLC",NA,"lung",NA,NA,"lung",NA,NA,"lung",NA,NA,NA,NA,NA,NA,"CVCL_1055","A427_45_2019","A427","lung","Lung adenocarcinoma","Cancer cell line",NA,"ACH-000757",NA,NA,NA,NA
"49","A-431","Other","A431",NA,"A431",NA,"A-431",NA,"A431","A431",NA,NA,"A431",NA,NA,"A-431","A431","A431",NA,"skin",NA,"skin",NA,"Skin",NA,"Skin",NA,NA,NA,NA,"skin",NA,"Skin","skin",NA,NA,NA,NA,"Miscellaneous Tumors",NA,"CVCL_0037","A431_46_2019","A431","skin","Vulvar squamous cell carcinoma","Cancer cell line",NA,"ACH-001328",NA,NA,NA,NA
"50","A-498","Kidney","A498","A-498","A498",NA,"A-498",NA,"A498",NA,"A-498","A-498","A498",NA,"A498","A-498","A498","A498///RE.A498",NA,"kidney","kidney","kidney",NA,"Kidney",NA,"Kidney","kidney","kidney",NA,NA,"kidney","kidney","Kidney","kidney","A498","kidney",NA,NA,"Renal Cancer///Renal",NA,"CVCL_1056","A498_47_2019","A498","kidney","Renal cell carcinoma","Cancer cell line",NA,"ACH-000555",NA,NA,NA,NA
"51","A-549","Lung","A549","A549","A549",NA,"A549","A549","A549",NA,"A549","A549","A549",NA,"A549","A549","A549","A549/ATCC///LC.A549.ATCC","A549_LUNG","lung","lung","lung",NA,"Lung","LUNG","Lung:NSCLC","lung","lung",NA,NA,"lung","lung","Lung","lung",NA,NA,NA,NA,"Non-Small Cell Lung Cancer///Non-Small Cell Lung","lung","CVCL_0023","A549_48_2019","A549","lung","Lung adenocarcinoma","Cancer cell line",NA,"ACH-000681",NA,NA,NA,NA
"52","A-673","Bone","A673","A-673","A673",NA,"A-673",NA,"A673",NA,"A-673","A-673","A673",NA,"A673","A-673","A673",NA,"A673_BONE","bone","bone","muscle",NA,"Skeletal Muscle",NA,"Muscle","bone","soft_tissue",NA,NA,"bone","bone","Muscle","bone","A673","bone",NA,NA,NA,"bone","CVCL_0080","A673_49_2019","A673","bone","Ewing sarcoma","Cancer cell line",NA,"ACH-000052",NA,NA,NA,NA
"53","A-704","Kidney","A704","A-704",NA,NA,NA,NA,"A704",NA,"A-704","A-704","A704",NA,NA,NA,"A704",NA,"A704_KIDNEY","kidney","kidney",NA,NA,NA,NA,"Kidney","kidney","kidney",NA,NA,"kidney",NA,NA,"kidney",NA,NA,NA,NA,NA,"kidney","CVCL_1065","A704_50_2019","A704","kidney","Renal cell carcinoma","Cancer cell line",NA,"ACH-000429",NA,NA,NA,NA
"54","A-C/EBP 3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"A-C/EBP 3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Miscellaneous Tumors",NA,NA,"A-C/EBP 3542021_",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55","A-CREB 1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"A-CREB 1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Miscellaneous Tumors",NA,NA,"A-CREB 1552021_",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56","A-CREB 2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"A-CREB 2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Miscellaneous Tumors",NA,NA,"A-CREB 2562021_",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57","A-FOS 2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"A-FOS 2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Miscellaneous Tumors",NA,NA,"A-FOS 2572021_",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58","A-FOS 3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"A-FOS 3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Miscellaneous Tumors",NA,NA,"A-FOS 3582021_",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
